,Name ,1083_qtprolong,1118_qtprolong,1309_qtprolong,1368_qtprolong,1392_qtprolong,1434_qtprolong,1516_qtprolong,1518_qtprolong,1531_qtprolong,1535_qtprolong,1565_qtprolong,11235_qtprolong,20032_qtprolong,20084_qtprolong,30145_qtprolong,30171_qtprolong,1083_negchron,1118_negchron,1309_negchron,1368_negchron,1392_negchron,1434_negchron,1516_negchron,1518_negchron,1531_negchron,1535_negchron,1565_negchron,11235_negchron,20032_negchron,20084_negchron,30145_negchron,30171_negchron,1083_poschron,1118_poschron,1309_poschron,1368_poschron,1392_poschron,1434_poschron,1516_poschron,1518_poschron,1531_poschron,1535_poschron,1565_poschron,11235_poschron,20032_poschron,20084_poschron,30145_poschron,30171_poschron,1083_asystole,1118_asystole,1309_asystole,1368_asystole,1392_asystole,1434_asystole,1516_asystole,1518_asystole,1531_asystole,1535_asystole,1565_asystole,11235_asystole,20032_asystole,20084_asystole,30145_asystole,30171_asystole,1083_cytotox,1118_cytotox,1309_cytotox,1368_cytotox,1392_cytotox,1434_cytotox,1516_cytotox,1518_cytotox,1531_cytotox,1535_cytotox,1565_cytotox,11235_cytotox,20032_cytotox,20084_cytotox,30145_cytotox,30171_cytotox,Cat
9-Chloro-perfluorononanoic_acid,9-Chloro-perfluorononanoic_acid,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,269.682,13.08635,84.2662,298.37,274.5165,10.93855,14.8764,128.015,243.0345,39.9436,240.579,2.231085,44.8171,141.5665,272.917,6.24397,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,84.2985,300,300,300,87.3809,90.8762,300,300,243.5765,300,14.7445,271.7965,300,300,44.06625,222.062,297.2675,141.896,300,224.0785,36.69275,56.1507,247.478,268.4145,178.8015,112.1805,208.9625,167.8435,253.532,300,30.51,PFCA
Perfluoroundecanoic_acid,Perfluoroundecanoic_acid,300,155.4105,300,300,300,300,300,17.35955,300,300,300,300,300,300,300,4.566745,300,300,300,300,300,300,0.03,1.187645,300,300,300,0.3952465,300,300,300,0.959593,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,187.1485,300,300,300,300,300,300,300,300,300,95.38355,300,300,300,127.752,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,PFCA
Perfluoro-4-isopropoxybutanoic_acid,Perfluoro-4-isopropoxybutanoic_acid,300,300,300,300,300,300,300,300,0.03,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,PFECA
Perfluorooctanesulfonic_acid,Perfluorooctanesulfonic_acid,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,10.60835,117.275,300,300,13.3316,20.44015,299.9855,59.11105,166.5035,300,0.5808435,129.034,80.72,300,6.943505,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,116.4205,300,300,300,147.824,300,300,300,300,300,12.51765,300,300,300,192.8945,159.259,126.9575,88.7466,238.1555,152.9175,141.136,193.9655,212.9135,141.186,148.092,100.534,269.226,140.897,142.404,277.957,220.862,PFSA
"2,2,2-Trifluoroethyl_perfluorobutanesulfonate","2,2,2-Trifluoroethyl_perfluorobutanesulfonate",300,300,300,300,300,300,0.03,0.03,0.03,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,49.13125,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,PFSA
Methyl_perfluoro(3-(1-ethenyloxypropan-2-yloxy)propanoate),Methyl_perfluoro(3-(1-ethenyloxypropan-2-yloxy)propanoate),300,300,194.98,300,300,300,230.584,233.9285,24.87635,300,300,300,245.6685,37.5155,265.1455,213.6495,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.5907665,300,300,300,PFECA
"1-(Perfluorofluorooctyl)propane-2,3-diol","1-(Perfluorofluorooctyl)propane-2,3-diol",300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,24.44575,0.2575435,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,3.096485,0.3940325,300,300,0.1903585,0.5163705,300,300,300,300,0.2307385,300,300,300,0.1357815,174.361,1.1853,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,alcohol
3_3_Fluorotelomer_carboxylic_acid,3_3_Fluorotelomer_carboxylic_acid,300,300,300,300,300,300,0.03,0.03,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,FTCA
3-Perfluoroheptylpropanoic_acid,3-Perfluoroheptylpropanoic_acid,300,300,300,300,300,300,300,300,25.3653,300,300,300,33.75325,36.73315,300,300,238.8485,13.76935,110.2775,191.7085,231.9605,21.01095,56.9467,177.3375,80.7373,130.9025,199.224,20.15385,133.3935,174.3455,256.7155,24.9112,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,59.8331,300,300,300,90.8534,220.01,300,300,300,300,84.8079,300,300,300,118.4735,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,PFCA
N-Methyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide,N-Methyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,16.90485,0.03,300,300,300,42.21615,300,300,300,300,300,35.4346,300,300,300,20.19795,300,300,300,300,300,0.03,0.0375465,300,300,300,300,0.03,0.198751,300,300,300,64.9498,0.07947905,300,300,300,143.328,300,300,300,300,300,124.463,300,300,300,69.6789,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,other
Perfluoroheptanoic_acid,Perfluoroheptanoic_acid,300,300,300,300,300,300,0.03,0.03,0.03,300,300,300,300,300,300,300,289.3135,39.7818,193.6435,300,290.631,207.289,68.0721,186.884,78.6987,193.6555,218.208,20.6416,232.19,258.9885,300,181.8095,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,223.572,300,300,300,300,300,300,300,300,300,108.2715,300,300,300,300,300,300,300,300,300,0.03,0.03,23.6118,300,300,300,300,300,56.8145,300,300,PFCA
Perfluoropropanoic_acid,Perfluoropropanoic_acid,300,300,300,300,300,300,300,300,0.307209,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,PFCA
Perfluoropentanoic_acid,Perfluoropentanoic_acid,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,PFCA
6_1_Fluorotelomer_alcohol,6_1_Fluorotelomer_alcohol,300,300,300,300,300,300,300,0.03,0.03,300,300,300,300,300,300,300,24.58485,0.5542305,300,74.87705,300,21.9181,300,300,300,300,300,21.4691,300,300,300,24.27225,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,84.33435,1.753855,300,252.588,300,75.4378,300,300,300,300,300,70.18365,300,300,300,80.8368,300,1.52992,98.62115,300,300,13.08875,0.03,0.0640341,300,300,300,300,300,237.628,300,263.0575,n:2 FTOH
Perfluorooctanamidine,Perfluorooctanamidine,300,300,300,300,300,300,300,0.072428,0.03,300,300,300,0.04258205,0.1449145,300,300,300,0.127754,300,300,300,300,300,300,300,2.86338,300,0.49898,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,25.5781,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,other
